end,mean_s,std_s,max_s,last_s,slope_s,mean_h,std_h,max_h,last_h,slope_h,z_mean_s,z_max_s,z_mean_h,z_max_h,mean_ratio,max_ratio,last_ratio,label,lead_s,y_true,y_pred,y_proba
1781632508,8.0,5.271622141238881,24.0,11.0,0.023577509937527608,48.51166666666666,122.55062843802783,467.0,0.0,0.00014963930455355392,1.0084396200753414,5.883643567294065,0.4017652405345743,3.8871630939579966,10.143117874412077,436.9956300436995,0.0,0,,0,1,0.675
1781632568,8.796666666666667,5.1879979011389565,24.0,11.0,0.021836005100014162,50.05166666666667,123.89263765005929,486.0,0.0,0.01326362017672271,1.1096894369295964,5.883643567294065,0.4133718615921939,3.9747629068449903,9.125132467389834,436.9956300436995,0.0,0,,0,1,0.6
1781632628,9.41,4.977807415586371,24.0,5.0,0.017453326259239604,50.60333333333333,125.24242886853035,486.0,207.0,0.00950263750732634,1.1378029157235436,5.883643567294065,0.41616026403799267,3.9747629068449903,8.538168841913556,436.9956300436995,41.3999172001656,0,,0,1,0.55
1781632688,9.958333333333334,4.669039575282646,24.0,8.0,0.011223336731490922,51.205,124.59621305775443,486.0,0.0,0.015223181175503331,1.1319366848945585,5.883643567294065,0.4193995378972311,3.9747629068449903,7.781226035810599,436.9956300436995,0.0,0,,0,0,0.41
1781632748,10.453333333333333,4.313292117268304,24.0,6.0,0.004448290134139262,49.97833333333333,122.58328269883386,486.0,0.0,0.009653499037497315,1.0996513791250564,5.883643567294065,0.4081619142432055,3.9747629068449903,5.933889056474185,131.3328955570148,0.0,0,,0,0,0.5
1781632808,10.898333333333333,3.9082814495490075,24.0,7.0,-0.003925094236372859,50.96,123.41633495341422,486.0,0.0,0.006172628257300657,1.051962089273252,5.883643567294065,0.415677064496624,3.9747629068449903,5.462972506978456,104.7497381256547,0.0,0,,0,0,0.325
1781632868,10.861666666666666,3.8934813756100364,24.0,11.0,-0.01077516881991339,51.07,123.56614328636574,486.0,0.0,0.011603698899163607,0.7900602478639327,5.883643567294065,0.4157447635772922,3.9747629068449903,5.617281397389758,104.7497381256547,0.0,0,,0,0,0.215
1781632928,10.533333333333333,3.9334745737353156,24.0,8.0,-0.013618926719240856,51.36666666666667,124.6326022979363,486.0,0.0,-0.0017808938358161684,0.48398469150861073,4.827683203124073,0.41758193343588373,3.9747629068449903,5.98535038323158,104.7497381256547,0.0,0,,0,0,0.23
1781632988,9.966666666666667,3.803799270320253,24.0,10.0,-0.01249975694376929,51.56,124.88716133641067,486.0,0.0,-0.00540418167828245,0.18180525274213294,3.8694867109783937,0.41817692334497686,3.9747629068449903,6.401251905779365,139.33286889043703,0.0,0,,0,0,0.47
1781633048,9.271666666666667,3.4580144431290174,22.0,5.0,-0.010024277845216254,52.515,126.47849530651446,486.0,0.0,-0.011446170683807504,-0.07358840417578065,3.1237294984532573,0.4245093620095483,3.9747629068449903,6.87696135053121,176.49911750441248,0.0,0,,0,0,0.15
1781633108,8.771666666666667,3.08321215978113,19.0,6.0,-0.0059249886805241205,51.51833333333333,125.43557309321079,486.0,0.0,-0.01731874255206268,-0.23574978284371473,2.239165628929428,0.415248899330369,3.9747629068449903,7.037244650949818,176.49911750441248,0.0,0,,0,0,0.2
1781633168,8.616666666666667,3.004394928914787,18.0,14.0,-0.0018059494609707371,50.151666666666664,124.66037327029343,466.0,0.0,-0.005828932858146784,-0.25684565610321464,2.6327417080459328,0.4032443624770829,3.7126381068777348,6.9619751064268485,176.49911750441248,0.0,0,,0,0,0.275
1781633228,8.616666666666667,3.0468107186951334,18.0,6.0,0.001047225131180922,50.15833333333333,124.30398195776175,466.0,356.0,-0.004458206828352342,-0.21166171006891113,3.3346296869942416,0.403331098415765,3.7126381068777348,6.881088319963031,176.49911750441248,59.33323444460926,0,,0,0,0.19
1781633288,8.478333333333333,3.0544280242879442,18.0,5.0,0.0012004755568765446,48.666666666666664,123.43304077740106,466.0,0.0,-0.004990236083989176,-0.199656137672706,3.3346296869942416,0.3913664896954365,3.7126381068777348,6.722662947727217,176.49911750441248,0.0,0,,0,0,0.29
1781633348,8.205,3.083230178454624,18.0,10.0,0.0003575843266231271,49.63,123.3308008298549,466.0,0.0,-0.010177194936652624,-0.23117645518815347,3.3346296869942416,0.3991688835867437,3.7126381068777348,7.292437862499696,176.49911750441248,0.0,0,,0,0,0.275
1781633408,7.913333333333333,3.140459980462876,18.0,4.0,-0.0012419478942997065,48.99333333333333,123.01293951812097,466.0,379.0,-0.007022797285548013,-0.2680301805975288,3.3346296869942416,0.39413591665214465,3.735785670674391,7.7008731299939885,176.49911750441248,94.7497631255922,0,,0,0,0.25
1781633468,7.655,3.2515598820668625,18.0,5.0,-0.004761596559990443,47.975,120.88983018296727,466.0,0.0,-0.005723321453670716,-0.2580512467453419,3.3346296869942416,0.38649899761523,3.735785670674391,8.268812010563025,289.9971000289997,0.0,0,,0,0,0.165
1781633528,7.283333333333333,3.388173877212063,18.0,2.0,-0.008043911233086768,49.693333333333335,120.99389497913613,466.0,0.0,0.005251736810379961,-0.28899629884828487,3.3346296869942416,0.40166656685190877,3.735785670674391,66342.84308967482,39800000.0,0.0,0,,0,0,0.1
1781633588,6.963333333333333,3.374708217839811,18.0,7.0,-0.009626193406092793,50.068333333333335,121.69438632857677,489.0,425.0,0.011131836477323548,-0.3030184796476145,3.3346296869942416,0.40614625750801503,4.064631925022495,66343.3078829942,39800000.0,60.714198979715746,0,,0,0,0.19
1781633648,6.663333333333333,3.407343377015133,18.0,3.0,-0.011503087508576426,49.071666666666665,119.64757915320403,489.0,0.0,0.008800274445206799,-0.3010765095508734,3.3346296869942416,0.39976853405559837,4.064631925022495,66343.45769698039,39800000.0,0.0,0,,0,0,0.16
1781633708,6.246666666666667,3.347011934381007,18.0,4.0,-0.011452920702557505,50.211666666666666,119.90727054918545,489.0,0.0,0.008677385214958934,-0.3345426377325685,3.3346296869942416,0.4109986803639402,4.064631925022495,66344.0604617387,39800000.0,0.0,0,,0,0,0.18
1781633768,5.703333333333333,3.0417082188942595,18.0,4.0,-0.00892641368448246,50.63166666666667,119.158029512166,489.0,0.0,0.012240895113597534,-0.4164521615178152,3.3346296869942416,0.41652447195641684,4.064631925022495,66345.26575966239,39800000.0,0.0,0,,0,0,0.12
1781633828,5.056666666666667,2.5942479107098113,15.0,6.0,-0.006203183897733033,50.468333333333334,118.15991563931013,489.0,224.0,0.011267725743682655,-0.5350450491087052,2.312635487566369,0.4170789617830261,4.064631925022495,66346.92846606336,39800000.0,37.33327111121482,0,,0,0,0.05
1781633888,4.69,2.297222961171452,13.0,6.0,-0.0037733993705538153,51.01833333333333,119.2260933292522,489.0,0.0,-0.0014359762110450571,-0.5631487191948523,1.6321635851275558,0.4235261520247683,4.064631925022495,66348.00519273797,39800000.0,0.0,0,,0,0,0.09
1781633948,4.426666666666667,2.1628581912727327,13.0,2.0,-0.0024266178517162555,50.81,119.95785607176103,489.0,0.0,-0.002172561590448895,-0.5374547184397438,2.724055839035066,0.4232803761328879,4.064631925022495,66348.29586498084,39800000.0,0.0,0,,0,0,0.06
1781634008,4.278333333333333,2.076261999095704,13.0,4.0,-0.0008978080494668046,50.983333333333334,119.50902220706556,489.0,0.0,-0.00704629735082596,-0.4510545165886524,4.369356109149818,0.42566450887305024,4.064631925022495,66348.74647092189,39800000.0,0.0,0,,0,0,0.04
1781634068,4.226666666666667,2.048240437275099,13.0,1.0,-0.0004525568126578124,50.736666666666665,120.16157451069326,489.0,0.0,-0.02305889738582597,-0.3578929732857931,4.369356109149818,0.4243346089454758,4.064631925022495,66348.29537806881,39800000.0,0.0,0,,0,0,0.055
1781634128,4.23,2.012568839402353,13.0,5.0,-0.0009814471706865897,49.85666666666667,121.37918323263764,489.0,0.0,-0.00618551718199212,-0.2670358525911039,4.369356109149818,0.41696411879361917,4.064631925022495,14.421300103825052,359.9964000359996,0.0,0,,0,0,0.055
1781634188,4.1066666666666665,2.015429372504915,13.0,6.0,-0.0010058361273225743,49.195,119.43146001647416,473.0,160.0,-0.003803149453192883,-0.2244577627538347,4.369356109149818,0.41117065461379765,3.935688413004518,14.544572739844012,359.9964000359996,26.666622222296297,0,,0,0,0.01
1781634248,4.055,1.9719639110964144,13.0,3.0,-0.0009728082578007203,49.275,119.08806002982274,473.0,0.0,-0.014728679801888384,-0.18073569402492884,4.369356109149818,0.41208732886844746,3.935688413004518,14.655979436611723,359.9964000359996,0.0,0,,0,0,0.025
1781634308,3.995,1.9187604505687172,13.0,4.0,-0.0008622523951455469,48.553333333333335,118.69202650370224,473.0,0.0,-0.008720413112258626,-0.14405728823100644,4.369356109149818,0.40669017404839236,3.935688413004518,15.135558783765658,360.9963900360996,0.0,0,,0,0,0.01
1781634368,3.9766666666666666,1.9432246967919642,13.0,2.0,3.116675324098081e-05,48.55833333333333,118.38733010992162,473.0,0.0,0.0025597015547265435,-0.10191324618651236,4.369356109149818,0.40717527329009573,3.935688413004518,14.938818697019936,360.9963900360996,0.0,0,,0,0,0.005
1781634428,4.003333333333333,1.9131097430332868,13.0,6.0,-0.0006055572376589827,48.11833333333333,118.1293119024891,473.0,0.0,0.0005678071327975642,-0.060528551909110974,4.369356109149818,0.40369362348443455,3.935688413004518,13.956625506452962,360.9963900360996,0.0,0,,0,0,0.0
1781634488,3.9716666666666667,1.9150797778566708,13.0,6.0,-0.00033380648279578834,48.67333333333333,119.0778035105153,473.0,0.0,0.003794510540306976,-0.032891169628963664,4.369356109149818,0.4081192707742866,3.935688413004518,13.644497799437223,360.9963900360996,0.0,0,,0,0,0.005
1781634548,3.9033333333333333,1.890499640012896,13.0,4.0,-0.0010452806813352335,49.0,119.69221639967516,473.0,0.0,0.00799007775021597,-0.05135276507494816,4.369356109149818,0.410672217707908,3.935688413004518,14.491910894105176,360.9963900360996,0.0,0,,0,0,0.01
1781634608,3.86,1.8664761807570256,12.0,4.0,-0.0005693904705290878,49.35166666666667,120.20286185121476,473.0,388.0,0.01139300386945518,-0.07256314991036304,4.177209593779544,0.41350472143881567,3.935688413004518,15.509658547941763,404.99595004049957,96.99975750060626,0,,0,0,0.015
1781634668,3.92,1.9253397968497232,12.0,8.0,0.0006915574765485386,50.52166666666667,121.92282885998925,473.0,0.0,0.006571212697813087,-0.03988421015217334,4.251515085287048,0.42281583823833524,3.935688413004518,15.811134270908514,404.99595004049957,0.0,0,,0,0,0.035
