start,end,mean,std,max,last,slope,label,lead_s,y_true,y_pred,y_proba
1781320921.0,1781321521.0,4.6066666666666665,2.115487860728321,13.0,8.0,2.7777854938490134e-06,0,,0,0,0.06566275034184733
1781174221.0,1781174821.0,5.8966666666666665,2.4343354101045502,14.0,6.0,0.0017125047569576573,0,,0,0,0.041114165533071144
1781349901.0,1781350501.0,6.7283333333333335,2.773300781058957,17.0,6.0,-0.004841152336534264,0,,0,0,0.02016268368488658
1780774741.0,1780775341.0,12.043333333333333,3.4041331087697237,26.0,14.0,0.0017978383273286973,0,,0,0,0.004281557193275891
1781116741.0,1781117341.0,5.3933333333333335,2.3456247687035443,14.0,5.0,0.0008562246006238934,0,,0,0,0.03855839970284377
1781424781.0,1781425381.0,4.255,2.1228852222074246,11.0,3.0,-0.0005360848224578448,0,,0,0,0.06525130855724014
1781094541.0,1781095141.0,4.458333333333333,2.057894690103348,12.0,4.0,0.00023963955455430765,0,,0,0,0.057278018972132236
1781324341.0,1781324941.0,4.373333333333333,2.0906033153666965,12.0,5.0,0.0005068902969174894,0,,0,0,0.06283104572968064
1781100361.0,1781100961.0,5.358333333333333,2.3194677310873626,14.0,4.0,-0.000762252117366992,0,,0,0,0.03526582680081871
1781413981.0,1781414581.0,3.0016666666666665,1.6857235505529633,10.0,2.0,0.0008182522729229802,0,,0,0,0.07932655398839483
1780745341.0,1780745941.0,10.405,3.3283091302742096,24.0,6.0,0.001521032002866666,0,,0,0,0.0034205405696932254
1781556601.0,1781557201.0,5.383333333333334,2.3100625292162307,17.0,1.0,-0.0033153980983280564,0,,0,0,0.01371169077833036
1781181361.0,1781181961.0,5.55,2.3918263593608406,13.0,1.0,-0.0007805577237714528,0,,0,0,0.03289356738010245
1781638441.0,1781639041.0,2.89,1.6905324604987624,10.0,1.0,-0.0007620021166725462,0,,0,0,0.07299645631618387
1781179141.0,1781179741.0,7.400667779632721,2.8542326396802236,18.0,8.0,-0.003171622783976341,0,,0,0,0.018780285041447374
1781414161.0,1781414761.0,3.3133333333333335,1.79122552708722,10.0,3.0,0.002379951055419598,0,,0,0,0.0850423884451265
1781219101.0,1781219701.0,7.823333333333333,2.771062772455523,16.0,8.0,-0.0006561129336470391,0,,0,0,0.02872225115084373
1781519041.0,1781519641.0,7.92,2.6789799053619894,15.0,8.0,-0.003373953816538391,0,,0,0,0.03571708751245499
1781186461.0,1781187061.0,5.355,2.3293006818928865,13.0,7.0,0.0033023702843619023,0,,0,0,0.05752235115065093
1781459581.0,1781460181.0,4.993333333333333,2.1617791027042723,13.0,3.0,0.0011234475651321248,0,,0,0,0.04095137696091835
1781531881.0,1781532481.0,5.613333333333333,2.321742640537251,12.0,8.0,0.0012682257450715153,0,,0,0,0.07677183858384352
1781533681.0,1781534281.0,7.998333333333333,2.9100396140869895,18.0,12.0,0.0014943652621257223,0,,0,0,0.026433127620477444
1781050801.0,1781051401.0,5.43,2.427296163772906,14.0,7.0,0.0005002791674421314,0,,0,0,0.046073429779349535
1780817041.0,1780817641.0,9.758333333333333,3.222824416908594,20.0,16.0,-0.004406928908135863,0,,0,0,0.022362283271652798
1781580001.0,1781580601.0,3.94,1.9688575367456123,11.0,5.0,-0.0005831127308686987,0,,0,0,0.07947135219442865
1780853641.0,1780854241.0,10.09,3.1846349869333532,20.0,10.0,-0.0007042241784005023,0,,0,0,0.012549160011208767
1781146681.0,1781147281.0,15.123333333333333,3.954085088726454,26.0,12.0,-0.0028307856410712384,0,,0,0,0.0029730695215250407
1780886161.0,1780886761.0,105.57833333333333,37.73160298594388,214.0,199.0,0.18554393206647804,0,,0,0,1.5974866257541385e-16
1781136481.0,1781137081.0,236.23166666666665,15.589248342652345,281.0,232.0,0.005270209083913738,0,,0,0,3.1789323174362327e-24
1780754701.0,1780755301.0,835.0983333333334,65.2341832468905,999.0,702.0,-0.3317659493498593,0,,0,0,3.1232249550423246e-89
1781329501.0,1781330101.0,5.371666666666667,2.3123286723320473,13.0,10.0,9.136136489268292e-05,0,,0,0,0.07514226707325113
1781283481.0,1781284081.0,12.798333333333334,3.4910834835175293,25.0,6.0,-0.0009178636607323955,0,,0,0,0.0024065793721433156
1781524801.0,1781525401.0,12.978333333333333,3.818096893596192,26.0,6.0,-0.0036582601618337846,0,,0,0,0.0018790449076050294
1781230261.0,1781230861.0,98.63666666666667,65.57701316433645,217.0,25.0,-0.14787602187783855,0,,0,0,2.448459051715833e-24
1781594761.0,1781595361.0,3.425,1.8141228367083269,11.0,1.0,-0.000812474479095774,0,,0,0,0.05734726314214153
1781507341.0,1781507941.0,7.565,2.988161363335878,20.0,1.0,-0.005067097408603902,0,,0,0,0.00611824811736399
1781218081.0,1781218681.0,10.288333333333334,3.6076581354421906,22.0,10.0,-0.00857627382298283,0,,0,0,0.007809741485432673
1780881841.0,1780882441.0,10.596666666666666,3.323751227487133,20.0,6.0,0.003561454337373161,0,,0,0,0.008343985907842218
1780855741.0,1780856341.0,9.896666666666667,3.464003784960724,21.0,8.0,-0.00611196142211505,0,,0,0,0.0082949182074477
1781136181.0,1781136781.0,240.58,17.269634236620842,295.0,207.0,-0.03776888269134096,0,,0,0,9.258807031594234e-27
1780766881.0,1780767481.0,20.013333333333332,4.522147965538304,35.0,17.0,-0.0029298970274917627,0,,0,0,0.0004789766919352548
